rank,worker,batch_position,global_frame_idx,episode_index,frame_index,chunk_global_start,chunk_global_end,chunk_local_start
2,7,3,5549,30,1253,5546,5796,1250
3,0,0,171582,790,1750,171582,171832,1750
3,0,1,171583,790,1751,171582,171832,1750
3,0,2,171584,790,1752,171582,171832,1750
3,0,3,171585,790,1753,171582,171832,1750
3,1,0,293476,1490,500,293476,293726,500
3,1,1,293477,1490,501,293476,293726,500
3,1,2,293478,1490,502,293476,293726,500
3,1,3,293479,1490,503,293476,293726,500
3,2,0,21368,110,1000,21368,21618,1000
3,2,1,21369,110,1001,21368,21618,1000
3,2,2,21370,110,1002,21368,21618,1000
3,2,3,21371,110,1003,21368,21618,1000
3,3,0,67119,320,2000,67119,67369,2000
3,3,1,67120,320,2001,67119,67369,2000
3,3,2,67121,320,2002,67119,67369,2000
3,3,3,67122,320,2003,67119,67369,2000
3,4,0,6653,40,250,6653,6903,250
3,4,1,6654,40,251,6653,6903,250
3,4,2,6655,40,252,6653,6903,250
3,4,3,6656,40,253,6653,6903,250
3,5,0,6903,40,500,6903,7153,500
3,5,1,6904,40,501,6903,7153,500
3,5,2,6905,40,502,6903,7153,500
3,5,3,6906,40,503,6903,7153,500
3,6,0,158012,740,500,158012,158262,500
3,6,1,158013,740,501,158012,158262,500
3,6,2,158014,740,502,158012,158262,500
3,6,3,158015,740,503,158012,158262,500
3,7,0,204018,940,2250,204018,204268,2250
3,7,1,204019,940,2251,204018,204268,2250
3,7,2,204020,940,2252,204018,204268,2250
3,7,3,204021,940,2253,204018,204268,2250
4,0,0,384927,2540,1250,384927,385054,1250
4,0,1,384928,2540,1251,384927,385054,1250
4,0,2,384929,2540,1252,384927,385054,1250
4,0,3,384930,2540,1253,384927,385054,1250
4,1,0,250192,1180,0,250192,250442,0
4,1,1,250193,1180,1,250192,250442,0
4,1,2,250194,1180,2,250192,250442,0
4,1,3,250195,1180,3,250192,250442,0
4,2,0,113838,530,1000,113838,114088,1000
4,2,1,113839,530,1001,113838,114088,1000
4,2,2,113840,530,1002,113838,114088,1000
4,2,3,113841,530,1003,113838,114088,1000
4,3,0,83845,400,1000,83845,84095,1000
4,3,1,83846,400,1001,83845,84095,1000
4,3,2,83847,400,1002,83845,84095,1000
4,3,3,83848,400,1003,83845,84095,1000
4,4,0,23645,120,1000,23645,23895,1000
4,4,1,23646,120,1001,23645,23895,1000
4,4,2,23647,120,1002,23645,23895,1000
4,4,3,23648,120,1003,23645,23895,1000
4,5,0,296338,1510,1250,296338,296588,1250
4,5,1,296339,1510,1251,296338,296588,1250
4,5,2,296340,1510,1252,296338,296588,1250
4,5,3,296341,1510,1253,296338,296588,1250
4,6,0,39250,200,500,39250,39500,500
4,6,1,39251,200,501,39250,39500,500
4,6,2,39252,200,502,39250,39500,500
4,6,3,39253,200,503,39250,39500,500
4,7,0,175043,810,500,175043,175293,500
4,7,1,175044,810,501,175043,175293,500
4,7,2,175045,810,502,175043,175293,500
4,7,3,175046,810,503,175043,175293,500
5,0,0,312142,1660,1000,312142,312392,1000
5,0,1,312143,1660,1001,312142,312392,1000
5,0,2,312144,1660,1002,312142,312392,1000
5,0,3,312145,1660,1003,312142,312392,1000
5,1,0,387054,2550,2000,387054,387191,2000
5,1,1,387055,2550,2001,387054,387191,2000
5,1,2,387056,2550,2002,387054,387191,2000
5,1,3,387057,2550,2003,387054,387191,2000
5,2,0,372549,2190,3250,372549,372633,3250
5,2,1,372550,2190,3251,372549,372633,3250
5,2,2,372551,2190,3252,372549,372633,3250
5,2,3,372552,2190,3253,372549,372633,3250
5,3,0,146060,680,2000,146060,146189,2000
5,3,1,146061,680,2001,146060,146189,2000
5,3,2,146062,680,2002,146060,146189,2000
5,3,3,146063,680,2003,146060,146189,2000
5,4,0,10325,60,500,10325,10575,500
5,4,1,10326,60,501,10325,10575,500
5,4,2,10327,60,502,10325,10575,500
5,4,3,10328,60,503,10325,10575,500
5,5,0,373133,2250,500,373133,373383,500
5,5,1,373134,2250,501,373133,373383,500
5,5,2,373135,2250,502,373133,373383,500
5,5,3,373136,2250,503,373133,373383,500
5,6,0,253442,1180,3250,253442,253497,3250
5,6,1,253443,1180,3251,253442,253497,3250
5,6,2,253444,1180,3252,253442,253497,3250
5,6,3,253445,1180,3253,253442,253497,3250
5,7,0,403483,2680,750,403483,403733,750
5,7,1,403484,2680,751,403483,403733,750
5,7,2,403485,2680,752,403483,403733,750
5,7,3,403486,2680,753,403483,403733,750
6,0,0,418665,2840,500,418665,418915,500
6,0,1,418666,2840,501,418665,418915,500
6,0,2,418667,2840,502,418665,418915,500
6,0,3,418668,2840,503,418665,418915,500
6,1,0,41899,210,750,41899,42149,750
6,1,1,41900,210,751,41899,42149,750
6,1,2,41901,210,752,41899,42149,750
6,1,3,41902,210,753,41899,42149,750
6,2,0,193212,900,1750,193212,193462,1750
6,2,1,193213,900,1751,193212,193462,1750
6,2,2,193214,900,1752,193212,193462,1750
6,2,3,193215,900,1753,193212,193462,1750
6,3,0,133045,620,2000,133045,133295,2000
6,3,1,133046,620,2001,133045,133295,2000
6,3,2,133047,620,2002,133045,133295,2000
6,3,3,133048,620,2003,133045,133295,2000
6,4,0,224193,1070,1000,224193,224443,1000
6,4,1,224194,1070,1001,224193,224443,1000
6,4,2,224195,1070,1002,224193,224443,1000
6,4,3,224196,1070,1003,224193,224443,1000
6,5,0,163309,760,750,163309,163559,750
6,5,1,163310,760,751,163309,163559,750
6,5,2,163311,760,752,163309,163559,750
6,5,3,163312,760,753,163309,163559,750
6,6,0,330287,1880,2000,330287,330336,2000
6,6,1,330288,1880,2001,330287,330336,2000
6,6,2,330289,1880,2002,330287,330336,2000
6,6,3,330290,1880,2003,330287,330336,2000
6,7,0,163809,760,1250,163809,164059,1250
6,7,1,163810,760,1251,163809,164059,1250
6,7,2,163811,760,1252,163809,164059,1250
6,7,3,163812,760,1253,163809,164059,1250
7,0,0,390532,2580,1500,390532,390782,1500
7,0,1,390533,2580,1501,390532,390782,1500
7,0,2,390534,2580,1502,390532,390782,1500
7,0,3,390535,2580,1503,390532,390782,1500
7,1,0,210113,970,1000,210113,210363,1000
7,1,1,210114,970,1001,210113,210363,1000
7,1,2,210115,970,1002,210113,210363,1000
7,1,3,210116,970,1003,210113,210363,1000
7,2,0,361102,2150,1500,361102,361352,1500
7,2,1,361103,2150,1501,361102,361352,1500
7,2,2,361104,2150,1502,361102,361352,1500
7,2,3,361105,2150,1503,361102,361352,1500
7,3,0,331336,1900,1000,331336,331359,1000
7,3,1,331337,1900,1001,331336,331359,1000
7,3,2,331338,1900,1002,331336,331359,1000
7,3,3,331339,1900,1003,331336,331359,1000
7,4,0,135079,630,1750,135079,135329,1750
7,4,1,135080,630,1751,135079,135329,1750
7,4,2,135081,630,1752,135079,135329,1750
7,4,3,135082,630,1753,135079,135329,1750
7,5,0,346801,2050,2250,346801,347051,2250
7,5,1,346802,2050,2251,346801,347051,2250
7,5,2,346803,2050,2252,346801,347051,2250
7,5,3,346804,2050,2253,346801,347051,2250
7,6,0,90150,430,750,90150,90400,750
7,6,1,90151,430,751,90150,90400,750
7,6,2,90152,430,752,90150,90400,750
7,6,3,90153,430,753,90150,90400,750
7,7,0,362352,2150,2750,362352,362366,2750
7,7,1,362353,2150,2751,362352,362366,2750
7,7,2,362354,2150,2752,362352,362366,2750
7,7,3,362355,2150,2753,362352,362366,2750
