rank,worker,batch_position,global_frame_idx,episode_index,frame_index,chunk_global_start,chunk_global_end,chunk_local_start,action_query_start,action_query_end,action_is_pad,prompt,skip_count
0,1,1,276592,1330,1001,276591,276841,1000,276592,276623,0,Turn on the radio receiver that's on the table in the living room.,0
0,1,2,276593,1330,1002,276591,276841,1000,276593,276624,0,Turn on the radio receiver that's on the table in the living room.,0
0,1,3,276594,1330,1003,276591,276841,1000,276594,276625,0,Turn on the radio receiver that's on the table in the living room.,0
0,1,4,276595,1330,1004,276591,276841,1000,276595,276626,0,Turn on the radio receiver that's on the table in the living room.,0
0,1,5,276596,1330,1005,276591,276841,1000,276596,276627,0,Turn on the radio receiver that's on the table in the living room.,0
0,1,6,276597,1330,1006,276591,276841,1000,276597,276628,0,Turn on the radio receiver that's on the table in the living room.,0
0,1,7,276598,1330,1007,276591,276841,1000,276598,276629,0,Turn on the radio receiver that's on the table in the living room.,0
0,1,8,276599,1330,1008,276591,276841,1000,276599,276630,0,Turn on the radio receiver that's on the table in the living room.,0
0,1,9,276600,1330,1009,276591,276841,1000,276600,276631,0,Turn on the radio receiver that's on the table in the living room.,0
0,1,10,276601,1330,1010,276591,276841,1000,276601,276632,0,Turn on the radio receiver that's on the table in the living room.,0
0,1,11,276602,1330,1011,276591,276841,1000,276602,276633,0,Turn on the radio receiver that's on the table in the living room.,0
0,1,12,276603,1330,1012,276591,276841,1000,276603,276634,0,Turn on the radio receiver that's on the table in the living room.,0
0,1,13,276604,1330,1013,276591,276841,1000,276604,276635,0,Turn on the radio receiver that's on the table in the living room.,0
0,1,14,276605,1330,1014,276591,276841,1000,276605,276636,0,Turn on the radio receiver that's on the table in the living room.,0
0,1,15,276606,1330,1015,276591,276841,1000,276606,276637,0,Turn on the radio receiver that's on the table in the living room.,0
0,1,16,276607,1330,1016,276591,276841,1000,276607,276638,0,Turn on the radio receiver that's on the table in the living room.,0
0,1,17,276608,1330,1017,276591,276841,1000,276608,276639,0,Turn on the radio receiver that's on the table in the living room.,0
0,1,18,276609,1330,1018,276591,276841,1000,276609,276640,0,Turn on the radio receiver that's on the table in the living room.,0
0,1,19,276610,1330,1019,276591,276841,1000,276610,276641,0,Turn on the radio receiver that's on the table in the living room.,0
0,1,20,276611,1330,1020,276591,276841,1000,276611,276642,0,Turn on the radio receiver that's on the table in the living room.,0
0,1,21,276612,1330,1021,276591,276841,1000,276612,276643,0,Turn on the radio receiver that's on the table in the living room.,0
0,1,22,276613,1330,1022,276591,276841,1000,276613,276644,0,Turn on the radio receiver that's on the table in the living room.,0
0,1,23,276614,1330,1023,276591,276841,1000,276614,276645,0,Turn on the radio receiver that's on the table in the living room.,0
0,1,24,276615,1330,1024,276591,276841,1000,276615,276646,0,Turn on the radio receiver that's on the table in the living room.,0
0,1,25,276616,1330,1025,276591,276841,1000,276616,276647,0,Turn on the radio receiver that's on the table in the living room.,0
0,1,26,276617,1330,1026,276591,276841,1000,276617,276648,0,Turn on the radio receiver that's on the table in the living room.,0
0,1,27,276618,1330,1027,276591,276841,1000,276618,276649,0,Turn on the radio receiver that's on the table in the living room.,0
0,1,28,276619,1330,1028,276591,276841,1000,276619,276650,0,Turn on the radio receiver that's on the table in the living room.,0
0,1,29,276620,1330,1029,276591,276841,1000,276620,276651,0,Turn on the radio receiver that's on the table in the living room.,0
0,1,30,276621,1330,1030,276591,276841,1000,276621,276652,0,Turn on the radio receiver that's on the table in the living room.,0
0,1,31,276622,1330,1031,276591,276841,1000,276622,276653,0,Turn on the radio receiver that's on the table in the living room.,0
0,2,0,362866,2160,500,362866,363116,500,362866,362897,0,Turn on the radio receiver that's on the table in the living room.,0
0,2,1,362867,2160,501,362866,363116,500,362867,362898,0,Turn on the radio receiver that's on the table in the living room.,0
0,2,2,362868,2160,502,362866,363116,500,362868,362899,0,Turn on the radio receiver that's on the table in the living room.,0
0,2,3,362869,2160,503,362866,363116,500,362869,362900,0,Turn on the radio receiver that's on the table in the living room.,0
0,2,4,362870,2160,504,362866,363116,500,362870,362901,0,Turn on the radio receiver that's on the table in the living room.,0
0,2,5,362871,2160,505,362866,363116,500,362871,362902,0,Turn on the radio receiver that's on the table in the living room.,0
0,2,6,362872,2160,506,362866,363116,500,362872,362903,0,Turn on the radio receiver that's on the table in the living room.,0
0,2,7,362873,2160,507,362866,363116,500,362873,362904,0,Turn on the radio receiver that's on the table in the living room.,0
0,2,8,362874,2160,508,362866,363116,500,362874,362905,0,Turn on the radio receiver that's on the table in the living room.,0
0,2,9,362875,2160,509,362866,363116,500,362875,362906,0,Turn on the radio receiver that's on the table in the living room.,0
0,2,10,362876,2160,510,362866,363116,500,362876,362907,0,Turn on the radio receiver that's on the table in the living room.,0
0,2,11,362877,2160,511,362866,363116,500,362877,362908,0,Turn on the radio receiver that's on the table in the living room.,0
0,2,12,362878,2160,512,362866,363116,500,362878,362909,0,Turn on the radio receiver that's on the table in the living room.,0
0,2,13,362879,2160,513,362866,363116,500,362879,362910,0,Turn on the radio receiver that's on the table in the living room.,0
0,2,14,362880,2160,514,362866,363116,500,362880,362911,0,Turn on the radio receiver that's on the table in the living room.,0
0,2,15,362881,2160,515,362866,363116,500,362881,362912,0,Turn on the radio receiver that's on the table in the living room.,0
0,2,16,362882,2160,516,362866,363116,500,362882,362913,0,Turn on the radio receiver that's on the table in the living room.,0
0,2,17,362883,2160,517,362866,363116,500,362883,362914,0,Turn on the radio receiver that's on the table in the living room.,0
0,2,18,362884,2160,518,362866,363116,500,362884,362915,0,Turn on the radio receiver that's on the table in the living room.,0
0,2,19,362885,2160,519,362866,363116,500,362885,362916,0,Turn on the radio receiver that's on the table in the living room.,0
0,2,20,362886,2160,520,362866,363116,500,362886,362917,0,Turn on the radio receiver that's on the table in the living room.,0
0,2,21,362887,2160,521,362866,363116,500,362887,362918,0,Turn on the radio receiver that's on the table in the living room.,0
0,2,22,362888,2160,522,362866,363116,500,362888,362919,0,Turn on the radio receiver that's on the table in the living room.,0
0,2,23,362889,2160,523,362866,363116,500,362889,362920,0,Turn on the radio receiver that's on the table in the living room.,0
0,2,24,362890,2160,524,362866,363116,500,362890,362921,0,Turn on the radio receiver that's on the table in the living room.,0
0,2,25,362891,2160,525,362866,363116,500,362891,362922,0,Turn on the radio receiver that's on the table in the living room.,0
0,2,26,362892,2160,526,362866,363116,500,362892,362923,0,Turn on the radio receiver that's on the table in the living room.,0
0,2,27,362893,2160,527,362866,363116,500,362893,362924,0,Turn on the radio receiver that's on the table in the living room.,0
0,2,28,362894,2160,528,362866,363116,500,362894,362925,0,Turn on the radio receiver that's on the table in the living room.,0
0,2,29,362895,2160,529,362866,363116,500,362895,362926,0,Turn on the radio receiver that's on the table in the living room.,0
0,2,30,362896,2160,530,362866,363116,500,362896,362927,0,Turn on the radio receiver that's on the table in the living room.,0
0,2,31,362897,2160,531,362866,363116,500,362897,362928,0,Turn on the radio receiver that's on the table in the living room.,0
0,3,0,151727,710,1000,151727,151977,1000,151727,151758,0,Turn on the radio receiver that's on the table in the living room.,0
0,3,1,151728,710,1001,151727,151977,1000,151728,151759,0,Turn on the radio receiver that's on the table in the living room.,0
0,3,2,151729,710,1002,151727,151977,1000,151729,151760,0,Turn on the radio receiver that's on the table in the living room.,0
0,3,3,151730,710,1003,151727,151977,1000,151730,151761,0,Turn on the radio receiver that's on the table in the living room.,0
0,3,4,151731,710,1004,151727,151977,1000,151731,151762,0,Turn on the radio receiver that's on the table in the living room.,0
0,3,5,151732,710,1005,151727,151977,1000,151732,151763,0,Turn on the radio receiver that's on the table in the living room.,0
0,3,6,151733,710,1006,151727,151977,1000,151733,151764,0,Turn on the radio receiver that's on the table in the living room.,0
0,3,7,151734,710,1007,151727,151977,1000,151734,151765,0,Turn on the radio receiver that's on the table in the living room.,0
0,3,8,151735,710,1008,151727,151977,1000,151735,151766,0,Turn on the radio receiver that's on the table in the living room.,0
0,3,9,151736,710,1009,151727,151977,1000,151736,151767,0,Turn on the radio receiver that's on the table in the living room.,0
0,3,10,151737,710,1010,151727,151977,1000,151737,151768,0,Turn on the radio receiver that's on the table in the living room.,0
0,3,11,151738,710,1011,151727,151977,1000,151738,151769,0,Turn on the radio receiver that's on the table in the living room.,0
0,3,12,151739,710,1012,151727,151977,1000,151739,151770,0,Turn on the radio receiver that's on the table in the living room.,0
0,3,13,151740,710,1013,151727,151977,1000,151740,151771,0,Turn on the radio receiver that's on the table in the living room.,0
0,3,14,151741,710,1014,151727,151977,1000,151741,151772,0,Turn on the radio receiver that's on the table in the living room.,0
0,3,15,151742,710,1015,151727,151977,1000,151742,151773,0,Turn on the radio receiver that's on the table in the living room.,0
0,3,16,151743,710,1016,151727,151977,1000,151743,151774,0,Turn on the radio receiver that's on the table in the living room.,0
0,3,17,151744,710,1017,151727,151977,1000,151744,151775,0,Turn on the radio receiver that's on the table in the living room.,0
0,3,18,151745,710,1018,151727,151977,1000,151745,151776,0,Turn on the radio receiver that's on the table in the living room.,0
0,3,19,151746,710,1019,151727,151977,1000,151746,151777,0,Turn on the radio receiver that's on the table in the living room.,0
0,3,20,151747,710,1020,151727,151977,1000,151747,151778,0,Turn on the radio receiver that's on the table in the living room.,0
0,3,21,151748,710,1021,151727,151977,1000,151748,151779,0,Turn on the radio receiver that's on the table in the living room.,0
0,3,22,151749,710,1022,151727,151977,1000,151749,151780,0,Turn on the radio receiver that's on the table in the living room.,0
0,3,23,151750,710,1023,151727,151977,1000,151750,151781,0,Turn on the radio receiver that's on the table in the living room.,0
0,3,24,151751,710,1024,151727,151977,1000,151751,151782,0,Turn on the radio receiver that's on the table in the living room.,0
0,3,25,151752,710,1025,151727,151977,1000,151752,151783,0,Turn on the radio receiver that's on the table in the living room.,0
0,3,26,151753,710,1026,151727,151977,1000,151753,151784,0,Turn on the radio receiver that's on the table in the living room.,0
0,3,27,151754,710,1027,151727,151977,1000,151754,151785,0,Turn on the radio receiver that's on the table in the living room.,0
0,3,28,151755,710,1028,151727,151977,1000,151755,151786,0,Turn on the radio receiver that's on the table in the living room.,0
0,3,29,151756,710,1029,151727,151977,1000,151756,151787,0,Turn on the radio receiver that's on the table in the living room.,0
0,3,30,151757,710,1030,151727,151977,1000,151757,151788,0,Turn on the radio receiver that's on the table in the living room.,0
0,3,31,151758,710,1031,151727,151977,1000,151758,151789,0,Turn on the radio receiver that's on the table in the living room.,0
0,4,0,382120,2530,1000,382120,382370,1000,382120,382151,0,Turn on the radio receiver that's on the table in the living room.,0
0,4,1,382121,2530,1001,382120,382370,1000,382121,382152,0,Turn on the radio receiver that's on the table in the living room.,0
0,4,2,382122,2530,1002,382120,382370,1000,382122,382153,0,Turn on the radio receiver that's on the table in the living room.,0
0,4,3,382123,2530,1003,382120,382370,1000,382123,382154,0,Turn on the radio receiver that's on the table in the living room.,0
0,4,4,382124,2530,1004,382120,382370,1000,382124,382155,0,Turn on the radio receiver that's on the table in the living room.,0
0,4,5,382125,2530,1005,382120,382370,1000,382125,382156,0,Turn on the radio receiver that's on the table in the living room.,0
0,4,6,382126,2530,1006,382120,382370,1000,382126,382157,0,Turn on the radio receiver that's on the table in the living room.,0
0,4,7,382127,2530,1007,382120,382370,1000,382127,382158,0,Turn on the radio receiver that's on the table in the living room.,0
0,4,8,382128,2530,1008,382120,382370,1000,382128,382159,0,Turn on the radio receiver that's on the table in the living room.,0
0,4,9,382129,2530,1009,382120,382370,1000,382129,382160,0,Turn on the radio receiver that's on the table in the living room.,0
0,4,10,382130,2530,1010,382120,382370,1000,382130,382161,0,Turn on the radio receiver that's on the table in the living room.,0
0,4,11,382131,2530,1011,382120,382370,1000,382131,382162,0,Turn on the radio receiver that's on the table in the living room.,0
0,4,12,382132,2530,1012,382120,382370,1000,382132,382163,0,Turn on the radio receiver that's on the table in the living room.,0
0,4,13,382133,2530,1013,382120,382370,1000,382133,382164,0,Turn on the radio receiver that's on the table in the living room.,0
0,4,14,382134,2530,1014,382120,382370,1000,382134,382165,0,Turn on the radio receiver that's on the table in the living room.,0
0,4,15,382135,2530,1015,382120,382370,1000,382135,382166,0,Turn on the radio receiver that's on the table in the living room.,0
0,4,16,382136,2530,1016,382120,382370,1000,382136,382167,0,Turn on the radio receiver that's on the table in the living room.,0
0,4,17,382137,2530,1017,382120,382370,1000,382137,382168,0,Turn on the radio receiver that's on the table in the living room.,0
0,4,18,382138,2530,1018,382120,382370,1000,382138,382169,0,Turn on the radio receiver that's on the table in the living room.,0
0,4,19,382139,2530,1019,382120,382370,1000,382139,382170,0,Turn on the radio receiver that's on the table in the living room.,0
0,4,20,382140,2530,1020,382120,382370,1000,382140,382171,0,Turn on the radio receiver that's on the table in the living room.,0
0,4,21,382141,2530,1021,382120,382370,1000,382141,382172,0,Turn on the radio receiver that's on the table in the living room.,0
0,4,22,382142,2530,1022,382120,382370,1000,382142,382173,0,Turn on the radio receiver that's on the table in the living room.,0
0,4,23,382143,2530,1023,382120,382370,1000,382143,382174,0,Turn on the radio receiver that's on the table in the living room.,0
0,4,24,382144,2530,1024,382120,382370,1000,382144,382175,0,Turn on the radio receiver that's on the table in the living room.,0
0,4,25,382145,2530,1025,382120,382370,1000,382145,382176,0,Turn on the radio receiver that's on the table in the living room.,0
0,4,26,382146,2530,1026,382120,382370,1000,382146,382177,0,Turn on the radio receiver that's on the table in the living room.,0
0,4,27,382147,2530,1027,382120,382370,1000,382147,382178,0,Turn on the radio receiver that's on the table in the living room.,0
0,4,28,382148,2530,1028,382120,382370,1000,382148,382179,0,Turn on the radio receiver that's on the table in the living room.,0
0,4,29,382149,2530,1029,382120,382370,1000,382149,382180,0,Turn on the radio receiver that's on the table in the living room.,0
0,4,30,382150,2530,1030,382120,382370,1000,382150,382181,0,Turn on the radio receiver that's on the table in the living room.,0
0,4,31,382151,2530,1031,382120,382370,1000,382151,382182,0,Turn on the radio receiver that's on the table in the living room.,0
0,5,0,108745,510,1000,108745,108995,1000,108745,108776,0,Turn on the radio receiver that's on the table in the living room.,0
0,5,1,108746,510,1001,108745,108995,1000,108746,108777,0,Turn on the radio receiver that's on the table in the living room.,0
0,5,2,108747,510,1002,108745,108995,1000,108747,108778,0,Turn on the radio receiver that's on the table in the living room.,0
0,5,3,108748,510,1003,108745,108995,1000,108748,108779,0,Turn on the radio receiver that's on the table in the living room.,0
0,5,4,108749,510,1004,108745,108995,1000,108749,108780,0,Turn on the radio receiver that's on the table in the living room.,0
0,5,5,108750,510,1005,108745,108995,1000,108750,108781,0,Turn on the radio receiver that's on the table in the living room.,0
0,5,6,108751,510,1006,108745,108995,1000,108751,108782,0,Turn on the radio receiver that's on the table in the living room.,0
0,5,7,108752,510,1007,108745,108995,1000,108752,108783,0,Turn on the radio receiver that's on the table in the living room.,0
0,5,8,108753,510,1008,108745,108995,1000,108753,108784,0,Turn on the radio receiver that's on the table in the living room.,0
0,5,9,108754,510,1009,108745,108995,1000,108754,108785,0,Turn on the radio receiver that's on the table in the living room.,0
0,5,10,108755,510,1010,108745,108995,1000,108755,108786,0,Turn on the radio receiver that's on the table in the living room.,0
0,5,11,108756,510,1011,108745,108995,1000,108756,108787,0,Turn on the radio receiver that's on the table in the living room.,0
0,5,12,108757,510,1012,108745,108995,1000,108757,108788,0,Turn on the radio receiver that's on the table in the living room.,0
0,5,13,108758,510,1013,108745,108995,1000,108758,108789,0,Turn on the radio receiver that's on the table in the living room.,0
0,5,14,108759,510,1014,108745,108995,1000,108759,108790,0,Turn on the radio receiver that's on the table in the living room.,0
0,5,15,108760,510,1015,108745,108995,1000,108760,108791,0,Turn on the radio receiver that's on the table in the living room.,0
0,5,16,108761,510,1016,108745,108995,1000,108761,108792,0,Turn on the radio receiver that's on the table in the living room.,0
0,5,17,108762,510,1017,108745,108995,1000,108762,108793,0,Turn on the radio receiver that's on the table in the living room.,0
0,5,18,108763,510,1018,108745,108995,1000,108763,108794,0,Turn on the radio receiver that's on the table in the living room.,0
0,5,19,108764,510,1019,108745,108995,1000,108764,108795,0,Turn on the radio receiver that's on the table in the living room.,0
0,5,20,108765,510,1020,108745,108995,1000,108765,108796,0,Turn on the radio receiver that's on the table in the living room.,0
0,5,21,108766,510,1021,108745,108995,1000,108766,108797,0,Turn on the radio receiver that's on the table in the living room.,0
0,5,22,108767,510,1022,108745,108995,1000,108767,108798,0,Turn on the radio receiver that's on the table in the living room.,0
0,5,23,108768,510,1023,108745,108995,1000,108768,108799,0,Turn on the radio receiver that's on the table in the living room.,0
0,5,24,108769,510,1024,108745,108995,1000,108769,108800,0,Turn on the radio receiver that's on the table in the living room.,0
0,5,25,108770,510,1025,108745,108995,1000,108770,108801,0,Turn on the radio receiver that's on the table in the living room.,0
0,5,26,108771,510,1026,108745,108995,1000,108771,108802,0,Turn on the radio receiver that's on the table in the living room.,0
0,5,27,108772,510,1027,108745,108995,1000,108772,108803,0,Turn on the radio receiver that's on the table in the living room.,0
0,5,28,108773,510,1028,108745,108995,1000,108773,108804,0,Turn on the radio receiver that's on the table in the living room.,0
0,5,29,108774,510,1029,108745,108995,1000,108774,108805,0,Turn on the radio receiver that's on the table in the living room.,0
0,5,30,108775,510,1030,108745,108995,1000,108775,108806,0,Turn on the radio receiver that's on the table in the living room.,0
0,5,31,108776,510,1031,108745,108995,1000,108776,108807,0,Turn on the radio receiver that's on the table in the living room.,0
0,6,0,326587,1830,1500,326587,326648,1500,326587,326618,0,Turn on the radio receiver that's on the table in the living room.,0
0,6,1,326588,1830,1501,326587,326648,1500,326588,326619,0,Turn on the radio receiver that's on the table in the living room.,0
0,6,2,326589,1830,1502,326587,326648,1500,326589,326620,0,Turn on the radio receiver that's on the table in the living room.,0
0,6,3,326590,1830,1503,326587,326648,1500,326590,326621,0,Turn on the radio receiver that's on the table in the living room.,0
0,6,4,326591,1830,1504,326587,326648,1500,326591,326622,0,Turn on the radio receiver that's on the table in the living room.,0
0,6,5,326592,1830,1505,326587,326648,1500,326592,326623,0,Turn on the radio receiver that's on the table in the living room.,0
0,6,6,326593,1830,1506,326587,326648,1500,326593,326624,0,Turn on the radio receiver that's on the table in the living room.,0
0,6,7,326594,1830,1507,326587,326648,1500,326594,326625,0,Turn on the radio receiver that's on the table in the living room.,0
0,6,8,326595,1830,1508,326587,326648,1500,326595,326626,0,Turn on the radio receiver that's on the table in the living room.,0
0,6,9,326596,1830,1509,326587,326648,1500,326596,326627,0,Turn on the radio receiver that's on the table in the living room.,0
0,6,10,326597,1830,1510,326587,326648,1500,326597,326628,0,Turn on the radio receiver that's on the table in the living room.,0
0,6,11,326598,1830,1511,326587,326648,1500,326598,326629,0,Turn on the radio receiver that's on the table in the living room.,0
0,6,12,326599,1830,1512,326587,326648,1500,326599,326630,0,Turn on the radio receiver that's on the table in the living room.,0
0,6,13,326600,1830,1513,326587,326648,1500,326600,326631,0,Turn on the radio receiver that's on the table in the living room.,0
0,6,14,326601,1830,1514,326587,326648,1500,326601,326632,0,Turn on the radio receiver that's on the table in the living room.,0
0,6,15,326602,1830,1515,326587,326648,1500,326602,326633,0,Turn on the radio receiver that's on the table in the living room.,0
0,6,16,326603,1830,1516,326587,326648,1500,326603,326634,0,Turn on the radio receiver that's on the table in the living room.,0
0,6,17,326604,1830,1517,326587,326648,1500,326604,326635,0,Turn on the radio receiver that's on the table in the living room.,0
0,6,18,326605,1830,1518,326587,326648,1500,326605,326636,0,Turn on the radio receiver that's on the table in the living room.,0
0,6,19,326606,1830,1519,326587,326648,1500,326606,326637,0,Turn on the radio receiver that's on the table in the living room.,0
0,6,20,326607,1830,1520,326587,326648,1500,326607,326638,0,Turn on the radio receiver that's on the table in the living room.,0
0,6,21,326608,1830,1521,326587,326648,1500,326608,326639,0,Turn on the radio receiver that's on the table in the living room.,0
0,6,22,326609,1830,1522,326587,326648,1500,326609,326640,0,Turn on the radio receiver that's on the table in the living room.,0
0,6,23,326610,1830,1523,326587,326648,1500,326610,326641,0,Turn on the radio receiver that's on the table in the living room.,0
0,6,24,326611,1830,1524,326587,326648,1500,326611,326642,0,Turn on the radio receiver that's on the table in the living room.,0
0,6,25,326612,1830,1525,326587,326648,1500,326612,326643,0,Turn on the radio receiver that's on the table in the living room.,0
0,6,26,326613,1830,1526,326587,326648,1500,326613,326644,0,Turn on the radio receiver that's on the table in the living room.,0
0,6,27,326614,1830,1527,326587,326648,1500,326614,326645,0,Turn on the radio receiver that's on the table in the living room.,0
0,6,28,326615,1830,1528,326587,326648,1500,326615,326646,0,Turn on the radio receiver that's on the table in the living room.,0
0,6,29,326616,1830,1529,326587,326648,1500,326616,326647,0,Turn on the radio receiver that's on the table in the living room.,0
0,6,30,326617,1830,1530,326587,326648,1500,326617,326647,1,Turn on the radio receiver that's on the table in the living room.,0
0,6,31,326618,1830,1531,326587,326648,1500,326618,326647,1,Turn on the radio receiver that's on the table in the living room.,0
0,7,0,132045,620,1000,132045,132295,1000,132045,132076,0,Turn on the radio receiver that's on the table in the living room.,0
0,7,1,132046,620,1001,132045,132295,1000,132046,132077,0,Turn on the radio receiver that's on the table in the living room.,0
0,7,2,132047,620,1002,132045,132295,1000,132047,132078,0,Turn on the radio receiver that's on the table in the living room.,0
0,7,3,132048,620,1003,132045,132295,1000,132048,132079,0,Turn on the radio receiver that's on the table in the living room.,0
0,7,4,132049,620,1004,132045,132295,1000,132049,132080,0,Turn on the radio receiver that's on the table in the living room.,0
0,7,5,132050,620,1005,132045,132295,1000,132050,132081,0,Turn on the radio receiver that's on the table in the living room.,0
0,7,6,132051,620,1006,132045,132295,1000,132051,132082,0,Turn on the radio receiver that's on the table in the living room.,0
0,7,7,132052,620,1007,132045,132295,1000,132052,132083,0,Turn on the radio receiver that's on the table in the living room.,0
0,7,8,132053,620,1008,132045,132295,1000,132053,132084,0,Turn on the radio receiver that's on the table in the living room.,0
0,7,9,132054,620,1009,132045,132295,1000,132054,132085,0,Turn on the radio receiver that's on the table in the living room.,0
0,7,10,132055,620,1010,132045,132295,1000,132055,132086,0,Turn on the radio receiver that's on the table in the living room.,0
0,7,11,132056,620,1011,132045,132295,1000,132056,132087,0,Turn on the radio receiver that's on the table in the living room.,0
0,7,12,132057,620,1012,132045,132295,1000,132057,132088,0,Turn on the radio receiver that's on the table in the living room.,0
0,7,13,132058,620,1013,132045,132295,1000,132058,132089,0,Turn on the radio receiver that's on the table in the living room.,0
0,7,14,132059,620,1014,132045,132295,1000,132059,132090,0,Turn on the radio receiver that's on the table in the living room.,0
0,7,15,132060,620,1015,132045,132295,1000,132060,132091,0,Turn on the radio receiver that's on the table in the living room.,0
0,7,16,132061,620,1016,132045,132295,1000,132061,132092,0,Turn on the radio receiver that's on the table in the living room.,0
0,7,17,132062,620,1017,132045,132295,1000,132062,132093,0,Turn on the radio receiver that's on the table in the living room.,0
0,7,18,132063,620,1018,132045,132295,1000,132063,132094,0,Turn on the radio receiver that's on the table in the living room.,0
0,7,19,132064,620,1019,132045,132295,1000,132064,132095,0,Turn on the radio receiver that's on the table in the living room.,0
0,7,20,132065,620,1020,132045,132295,1000,132065,132096,0,Turn on the radio receiver that's on the table in the living room.,0
0,7,21,132066,620,1021,132045,132295,1000,132066,132097,0,Turn on the radio receiver that's on the table in the living room.,0
0,7,22,132067,620,1022,132045,132295,1000,132067,132098,0,Turn on the radio receiver that's on the table in the living room.,0
0,7,23,132068,620,1023,132045,132295,1000,132068,132099,0,Turn on the radio receiver that's on the table in the living room.,0
0,7,24,132069,620,1024,132045,132295,1000,132069,132100,0,Turn on the radio receiver that's on the table in the living room.,0
0,7,25,132070,620,1025,132045,132295,1000,132070,132101,0,Turn on the radio receiver that's on the table in the living room.,0
0,7,26,132071,620,1026,132045,132295,1000,132071,132102,0,Turn on the radio receiver that's on the table in the living room.,0
0,7,27,132072,620,1027,132045,132295,1000,132072,132103,0,Turn on the radio receiver that's on the table in the living room.,0
0,7,28,132073,620,1028,132045,132295,1000,132073,132104,0,Turn on the radio receiver that's on the table in the living room.,0
0,7,29,132074,620,1029,132045,132295,1000,132074,132105,0,Turn on the radio receiver that's on the table in the living room.,0
